source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,A_v,E_bp_rp
1859753691387019264,311.9447534931922,31.325451249572406,1.7381260063596589,0.08179239,-0.6874445240375122,0.061955865,-16.816522962293664,0.07554265,,17.26482,,,0.92535,0.3996915
1859850345330613248,312.1156977822651,31.495799940270786,1.5541933353950927,0.0416643,2.2068216908005103,0.03361668,-14.162195599773195,0.041414242,,16.21346,16.93086,15.393756,0.91109,0.3935321
1858278524745133440,312.360241748864,29.727555881619345,1.7228605124296048,0.014246612,8.459663326276221,0.0103658065,6.109837543862952,0.013813791,-25.002125,13.898398,14.303808,13.334101,0.6355,0.274495
1858292268640531968,312.32285012350553,29.865208399601286,1.2995172268515314,0.047001872,-1.6969595856568114,0.03632398,-4.952636184930513,0.04491844,,16.516294,17.22272,15.70515,0.68696,0.2967224
1858295704614411776,312.1910832015117,29.853258039803872,1.534176770882185,0.32258517,-4.1451297119108,0.23729041,-1.0336207367268813,0.29780316,,17.96382,18.378246,17.124844,0.74648,0.3224312
1858595562046653312,313.0774378742343,29.75100370147029,3.044363317086656,0.019369818,7.770595040932335,0.012970071,-10.000141311193705,0.017195618,15.0927515,14.638796,15.345695,13.825335,0.46035,0.19884149999999998
1858596111802490624,312.98410239568386,29.7366164013337,2.045186211561909,0.089149326,-5.584763345922832,0.05777415,-6.820592292211506,0.07605584,8.699066,14.727481,15.224068,14.037546,0.43803000000000003,0.1892007
1858600406770007040,312.7877651754337,29.66666300529764,3.2985569830588264,0.33418146,-4.685769618723389,0.25277832,-2.932539182532364,0.32397342,,14.24083,14.38918,13.376294,0.45353000000000004,0.1958957
1858603705305061632,312.7359398258413,29.71050247522292,2.31784554759071,0.016610403,5.103027960765891,0.011391246,-10.42874648792517,0.016035149,18.263264,14.050832,14.5301,13.414463,0.48142999999999997,0.20794669999999998
1858604529925943936,312.7566077263039,29.771756007789257,1.2513047150768988,0.024947966,1.5334215401438869,0.017026754,-3.819359719753392,0.025929712,0.698074,11.71274,11.783066,11.496203,0.48515,0.2095535
1858613321723733376,312.935915582248,29.94935882769288,2.597634275564703,0.015410391,2.390806714793544,0.010311849,-2.139695009276908,0.013013082,-26.593689,12.010389,12.305564,11.556599,0.46345,0.20018049999999998
